model_name,horizon,target,dataset,nRMSE,nMAE,NSE,KGE
LSTM_KAN,2,Diatoms,val,1.0945618026584385,0.8272580918627569,0.36840830592836193,0.38993349156647483
LSTM_KAN,2,Cryptophyta,val,0.5873841043688092,0.48515385658753885,-0.46074213488542637,0.34827503988688746
LSTM_KAN,2,Algae_Sum,val,0.44357775245487996,0.36342772275821766,-0.18933892467153468,0.3550699357856678
LSTM_KAN,3,Green_Algae,val,1.0477650614733311,0.8535430669085857,0.010596396779433692,0.2748367056647224
LSTM_KAN,3,Cyanobacteria,val,0.40969696961446533,0.31918010580525424,0.008552153838834786,0.2592243665122894
LSTM_KAN,3,Diatoms,val,1.2210444031743772,0.9156093656513808,0.22277358095449995,0.30948111687103863
LSTM_KAN,3,Cryptophyta,val,0.6436742825593698,0.523903588184941,-0.8227388825354733,0.2147449460471984
LSTM_KAN,3,Algae_Sum,val,0.5211430124698747,0.4376553891672443,-0.6523390449321351,0.141963918140246
LSTM_KAN,1,Green_Algae,test,3.641556957581218,3.145009709810358,-2.0960473497184307,-1.9145161294306052
LSTM_KAN,1,Cyanobacteria,test,0.4031506234156581,0.3232175714205047,0.3829946610377497,0.3755784842201316
LSTM_KAN,1,Diatoms,test,0.7773519635096192,0.5788421938461732,0.22683463308081098,0.21413387277906604
LSTM_KAN,1,Cryptophyta,test,0.4282744151106125,0.31925628414323715,0.33308360061629116,0.48055541500230825
LSTM_KAN,1,Algae_Sum,test,0.3127003837545883,0.2507940345491829,0.5383560825824601,0.5182514675696054
LSTM_KAN,2,Green_Algae,test,3.785249919239028,3.2954625590093647,-2.291598193447882,-2.019346691913279
LSTM_KAN,2,Cyanobacteria,test,0.47028585181188526,0.38223727184424516,0.17197077457569787,0.21100647490289437
LSTM_KAN,2,Diatoms,test,0.903987946024806,0.6679947883157068,-0.04449945039719139,0.06778099215880551
LSTM_KAN,2,Cryptophyta,test,0.5042982103514133,0.3828692244010443,0.08847613317157343,0.3007167030619713
LSTM_KAN,2,Algae_Sum,test,0.3932064189921474,0.3171505686135291,0.28407320567511785,0.31191474515086826
LSTM_KAN,3,Green_Algae,test,3.6723065567230218,3.1295134578674926,-2.1130267458406737,-1.837986995504357
LSTM_KAN,3,Cyanobacteria,test,0.5135698066908977,0.4177051225913103,0.023871765802204514,0.09729522233529964
LSTM_KAN,3,Diatoms,test,0.9089604224972919,0.6734401405437873,-0.056314003425374626,0.057695913874280635
LSTM_KAN,3,Cryptophyta,test,0.5677280137098387,0.4306145412220836,-0.15709137524715566,0.15293035687868262
LSTM_KAN,3,Algae_Sum,test,0.45165079777245415,0.3615033837593114,0.06573753421830686,0.10923020188057653
